Année;Code région académique;Code région Insee;Libellé région académique;Discipline;IPS moyen;Caractéristiques;Score moyen;Ecart type;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6
2019;02;27;BOURGOGNE-FRANCHE-COMTE;Français;102.1;Fille;263;46.1;8.0;12.9;18.1;20.5;18.4;22.1
2019;03;53;BRETAGNE;Français;108.5;Ensemble;261;47.0;9.6;13.0;17.9;19.7;18.2;21.5
2019;04;24;CENTRE-VAL DE LOIRE;Français;103.5;Fille;263;45.8;7.9;13.1;19.5;19.7;18.2;21.6
2019;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.5;Fille;248;45.4;13.1;19.4;22.8;19.1;12.7;12.9
2019;05;94;CORSE;Mathématiques;100.8;Ensemble;237;51.7;21.6;21.0;19.4;15.5;11.0;11.5
2019;07;01;GUADELOUPE;Français;88.5;Fille;248;48.5;16.7;16.6;19.2;17.3;14.8;15.4
2019;07;01;GUADELOUPE;Français;88.5;Garçon;228;49.8;31.2;19.2;16.1;13.6;10.6;9.3
2019;09;32;HAUTS-DE-FRANCE;Français;97.0;Ensemble;247;48.9;17.0;17.1;18.5;17.8;14.2;15.3
2019;12;02;MARTINIQUE;Français;93.3;Ensemble;241;50.8;22.0;16.1;18.3;16.3;14.3;13.1
2019;13;06;MAYOTTE;Français;68.1;Fille;188;55.5;59.6;16.6;11.5;7.0;3.4;2.0
2019;14;28;NORMANDIE;Français;101.9;Fille;258;47.4;10.8;14.6;18.4;19.2;17.5;19.6
2019;14;28;NORMANDIE;Français;101.9;Garçon;244;48.5;18.6;18.2;18.8;17.2;13.7;13.5
2019;14;28;NORMANDIE;Mathématiques;101.9;Ensemble;246;49.4;17.1;19.0;19.9;17.3;12.4;14.2
2019;15;75;NOUVELLE-AQUITAINE;Français;106.0;Ensemble;258;48.8;11.9;14.0;17.8;19.0;16.9;20.4
2019;17;52;PAYS DE LA LOIRE;Mathématiques;107.3;Garçon;257;53.7;13.9;15.1;17.8;17.4;14.8;21.0
2019;;;NATIONAL;Français;;Ensemble;255;49.6;13.6;14.8;17.8;18.5;16.3;19.1
2019;;;NATIONAL;Français;;Fille;262;48.1;9.8;12.9;17.4;19.5;18.0;22.3
2020;01;84;AUVERGNE-RHONE-ALPES;Français;107.3;Ensemble;266;47.1;7.0;12.2;19.1;20.4;18.0;23.3
2020;01;84;AUVERGNE-RHONE-ALPES;Français;107.3;Fille;272;46.9;5.0;10.1;17.7;20.3;19.6;27.4
2020;01;84;AUVERGNE-RHONE-ALPES;Français;107.3;Garçon;260;46.3;8.9;14.3;20.4;20.4;16.5;19.5
2020;02;27;BOURGOGNE-FRANCHE-COMTE;Mathématiques;102.4;Ensemble;255;49.7;12.9;15.9;19.3;18.8;14.8;18.4
2020;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.5;Fille;251;46.7;12.4;18.3;21.6;19.3;13.3;15.1
2020;05;94;CORSE;Français;101.7;Garçon;255;43.9;9.2;16.2;21.7;21.2;14.9;16.8
2020;05;94;CORSE;Mathématiques;101.7;Fille;246;43.8;13.8;18.5;23.6;19.5;13.4;11.2
2020;06;44;GRAND EST;Mathématiques;100.9;Fille;250;48.9;14.6;17.3;20.2;18.6;13.6;15.7
2020;07;01;GUADELOUPE;Français;88.8;Garçon;233;48.2;26.8;19.4;19.0;15.0;9.9;9.9
2020;07;01;GUADELOUPE;Mathématiques;88.8;Fille;225;45.5;30.7;23.2;18.8;13.2;7.7;6.4
2020;08;03;GUYANE;Français;71.4;Ensemble;209;48.6;47.6;18.8;14.3;9.4;5.0;4.9
2020;08;03;GUYANE;Français;71.4;Fille;215;48.4;41.5;19.5;16.9;10.7;5.4;6.0
2020;11;04;LA REUNION;Français;83.6;Fille;254;46.9;11.7;17.2;20.0;18.9;15.3;16.9
2020;11;04;LA REUNION;Mathématiques;83.6;Garçon;229;51.3;31.4;21.0;16.6;12.4;8.5;10.1
2020;12;02;MARTINIQUE;Français;91.9;Fille;254;48.1;12.6;16.0;20.1;18.3;15.4;17.5
2020;13;06;MAYOTTE;Français;68.1;Garçon;180;42.8;74.4;12.9;6.8;3.2;1.7;1.0
2020;14;28;NORMANDIE;Français;101.6;Garçon;251;45.3;11.9;17.7;21.8;20.1;14.0;14.5
2020;15;75;NOUVELLE-AQUITAINE;Français;106.1;Ensemble;264;47.4;7.7;12.7;19.2;20.4;17.5;22.4
2020;15;75;NOUVELLE-AQUITAINE;Mathématiques;106.1;Ensemble;256;50.8;12.8;14.7;19.0;18.8;15.0;19.6
2020;15;75;NOUVELLE-AQUITAINE;Mathématiques;106.1;Fille;253;47.8;12.4;15.9;20.9;19.5;14.7;16.6
2020;17;52;PAYS DE LA LOIRE;Mathématiques;107.4;Fille;257;47.6;10.6;14.9;20.3;20.4;15.7;18.1
2020;;;NATIONAL;Français;;Fille;268;48.3;6.9;11.7;18.2;20.1;18.1;24.9
2020;;;NATIONAL;Mathématiques;;Garçon;255;54.7;16.0;14.7;17.1;17.1;14.4;20.7
2021;02;27;BOURGOGNE-FRANCHE-COMTE;Mathématiques;102.8;Fille;251;47.7;13.0;17.9;21.5;18.4;13.7;15.6
2021;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.7;Ensemble;253;49.9;13.5;17.1;20.0;18.2;14.2;17.0
2021;04;24;CENTRE-VAL DE LOIRE;Mathématiques;103.7;Garçon;256;52.2;13.6;15.7;18.4;17.7;15.1;19.6
2021;05;94;CORSE;Français;101.0;Fille;266;43.2;4.3;12.2;21.0;22.3;18.5;21.6
2021;05;94;CORSE;Mathématiques;101.0;Fille;243;44.5;15.6;21.3;23.0;17.0;12.3;10.9
2021;06;44;GRAND EST;Français;101.3;Garçon;254;44.6;9.9;16.3;22.2;21.0;15.1;15.6
2021;07;01;GUADELOUPE;Français;90.7;Ensemble;243;46.8;18.3;18.6;20.5;17.1;13.2;12.2
2021;07;01;GUADELOUPE;Mathématiques;90.7;Fille;227;47.3;31.4;21.6;18.6;13.0;7.8;7.7
2021;08;03;GUYANE;Français;71.7;Fille;219;46.0;37.4;20.9;17.6;11.2;7.4;5.5
2021;08;03;GUYANE;Mathématiques;71.7;Garçon;199;50.2;60.4;14.1;10.5;6.3;4.8;3.9
2021;10;11;ILE-DE-FRANCE;Mathématiques;110.8;Ensemble;256;55.5;15.1;16.0;17.8;16.6;13.4;21.0
2021;10;11;ILE-DE-FRANCE;Mathématiques;110.8;Garçon;260;58.4;15.5;14.4;16.3;16.0;13.9;23.9
2021;11;04;LA REUNION;Mathématiques;85.1;Fille;231;46.1;26.3;23.6;19.4;13.7;8.5;8.6
2021;11;04;LA REUNION;Mathématiques;85.1;Garçon;232;51.8;29.7;20.4;17.5;12.3;9.4;10.7
2021;12;02;MARTINIQUE;Français;92.1;Fille;257;46.2;11.2;14.4;19.1;21.2;16.0;18.1
2021;12;02;MARTINIQUE;Mathématiques;92.1;Garçon;231;53.1;30.9;19.7;15.6;12.7;10.5;10.7
2021;13;06;MAYOTTE;Français;68.4;Fille;195;41.8;59.4;19.3;10.8;6.1;2.9;1.4
2021;13;06;MAYOTTE;Français;68.4;Garçon;184;41.8;72.6;13.3;7.3;4.0;1.7;1.1
2021;13;06;MAYOTTE;Mathématiques;68.4;Fille;177;37.6;77.5;13.6;5.9;1.7;0.8;0.5
2021;14;28;NORMANDIE;Français;101.9;Fille;262;44.4;6.4;14.1;21.4;21.6;16.9;19.6
